"id","a","b"
"basunguik","bersungut"
"basuo","bersua"
"bata","batal"
"batabangan","bebar"
"batabiang","bertebing"
"batabuah","bertabuh"
"bataduah","berteduh"
"batakanan","bertekanan"
"batakuak","bertekuk"
"batali","bertali"
"batambah","agak kian"
"batampua","bertempur"
"batamu","bertemu"
"batanam","bertanam"
"batandang","bertandang"
"batandiang","bertanding"
"batanduak","bertanduk"
"batang","batang"
"batang aia","sungai"
"batangka","bertengkar bertengkar"
"batani","bertani"
"batanuang","bertenung"
"batanyo","bertanya"
"batapekan","bertepatan"
"batapuak","bertepuk"
"batariak","berteriak"
"batariang","bertaring"
"bataruang","bertarung"
"bataruih","bertaruh bertaruh"
"batasabiah","bertasbih"
"batauik","bertaut"
"bateba","buyar"
"bateh","ambang batas limit"
"batenggang","bertenggang"
"bateori","berteori"
"baterai","baterai"
"batiah","bertih"
"batiak","batik betik pepaya"
"batih","betis"
"batikai","bertikai"
"batilakuang","bertelekung"
"batin","batin"
"batingkah","bertingkah"
"batingkek","bertingkat"
"batinju","bertinju"
"batino","betina"
"batitiak","bertitik"
"batobaik","bertobat"
"batopeng","bertopeng"
"batu","batu"
"batu mejan","nisan nisan"
"batua","betul"
"batuah","bertuah"
"batuak","batuk"
"batuang","bambu betung"
"batugeh","bertugas"
"batuka","bertukar"
"batulang","bertulang"
"batumbok","bertambal"
"batumbuah","bertumbuh"
"batumpu","bertumpu"
"batumpuak","bertumpuk"
"batuneh","bertunas"
"batungkek","bertongkat"
"baturuik","berturut"
"baua","baur"
"baubah","berubah"
"bauik","baut"
"baujuik","bewujud"
"baulah","berulah"
"baulek","berulat"
"baun","bau"
"bauntuang","beruntung"
"baupayo","berupaya"
"baurai","berurai"
"baurek","barakar"
"bautak tajam","cerdas"
"bawa","bawal"
"bawang","bawang"
"bawarno","berwarnai"
"bayam","bayam"
"bayi","bayi"
"bayo","baya"
"bebas","bebas"
"becak","becak"
"bedeang","bangsal bedeng"
"bedo","beda"
"beker","beker"
"bekoik","boikot"
"bela","bela"
"benca","rewang"
"bencong","banci"
"bendi","andong bendi"
"bengke","bengkel"
"bengkok","bengkok"
"bensin","bensin"
"benteng","benteng"
"beo","bea"
"berang","amarah berang marah murka naik pitam"
"beres","beres"
"beton","beton"
"bia","biar"
"biaro","bira"
"biaso","biasa jelata lazim lumrah"
"bibia","bibir"
"bibik","bibit"
"bicaro","bicara"
"bidan","bidan"
"bidang","bidang"
"bidiak","bidik"
"bidodari","bidadari"
"biduak","biduk perahu"
"bijo","biji"
"bika","bikang"
"bila","muazin"
"bilalang","belalang"
"bilau","belau biru"
"bileh","bilas"
"biliak","bilik"
"bilih","ketip"
"biliyar","biliar"
"bilo","bila kapan"
"biludu","beledru"
"biluka","belukar"
"bimbang","sangsi"
"bimbiang","bimbing"
"binaso","binasa"
"binatang","binatang"
"bindalu","benalu"
"binga","bengal"
"bingik","iri"
"bingkai","bingkai pigura"
"bingkih","bingkis"
"bingkuang","bengkuang"
"binguang","bingung"
"bini","isteri"
"bino","bina"
"bintang","bintang"
"bintangua","bentangur"
"bintia","bintil"
"bintiak","bintik"
"bintua","bintul"
"biri-biri","beri-beri"
"biruang","beruang"
"birunguik","berungut"
"bisa","bisa"
"bisan","besan"
"bisiak","bisik"
"bisnis","bisnis"
"bisu","bisu"
"bisua","bisul"
"bisuak","esok"
"bius","bius"
"bola","bola"
"boleng","botak"
"bom","bom"
"bonceang","bonceng"
"bondoang","bondong"
"boneh","bernas"
"boneka","boneka"
"bongak","egois"
"bongka","bongkar"
"bor","bor"
"boroang","borong"
"bosan","bosan jemu jenuh"
"boto","botol"
"buah baju","kancing"
"buai","ayun"
"buayo","buaya"
"bubua","bubur ubur-ubur"
"bubuang","bubung"
"bubuik","bubut"
"bubun-bubun","ubun-ubun"
"budak","budak"
"budaya","kultur"
"budayo","budaya"
"buek","buat"
"bugih","bugis"
"bugun","dongkol"
"buhua","buhul simpul"
"buhuak","gondok"
"buiah","buih"
"bujang","bujang lajang"
"bujua","bujur"
"bujuak","bujuk"
"bukak","buka"
"bukik","bukit"
"bukti","bukti"
"buku","buku"
"bulak","bolak"
"bulalai","belalai"
"bulalang","belalak delik"
"bulaliak","beliak"
"bulan","bulan"
"bulasuik","damprat"
"bulek","bulat"
"bulek lihia","oblong"
"buliah","boleh"
"bulu","bolu bulu"
"bulu mato","alis"
"buluah","buluh"
"buluih","bulus"
"bumbu","bumbu"
"bumi","bumi"
"buncih","buncis"
"buncik","buncit"
"bunda","bundar"
"bundak karak","mencak-mencak"
"bundo","bunda"
"bungka","bungkal"
"bungkuak","bungkuk"
"bungkuih","bungkus sampul"
"bungo","bunga"
"bunsu","bungsu"
"buntia","buntil"
"buntiang","bunting"
"buntu","buntu"
"bunuah","basmi bunuh"
"bunyi","bunyi"
"buruah","buruh"
"buruak","buruk jelek"
"buruang","burung"
"busa","busa"
"busuak","busuk"
"busuang","busung"
"butia","butir"
"buto","buta"
"buyuang","buyung"
"buyuik","buyut"
"cabiak","cabik robek sobek"
"cabua","cabul porno"
"cabuik","cabut"
"caca","cacar"
"cacah","cercah"
"cacek","cacat cela"
"caciang","cacing"
"cadiak","cadik cerdik intelek"
"cagar","cagar"
"cahayo","binar cahaya sinar"
"caia","cair lumer"
"caik","cat"
"caka","cakar"
"cakak","cekak"
"cakiak","cekik"
"cakuang","cekung"
"cakuik","cakup"
"calak","celak"
"caliak","pandang tatap tengok tengok"
"calo","calo"
"calon","calon"
"cama","doyan"
"camaik","camat"
"cambuang","cembung"
"cambuik","cemeti"
"cameh","cemas gusar"
"camerlang","cemerlang"
"camin","cermin"
"campak","campak"
"campua","campur seduh"
"campuang","cemplung"
"canang","canang"
"cancang","cencang"
"candoiko","begini"
"cangang","cengang"
"cangguang","canggung rakuh"
"cangkeh","cengkih"
"cangkia","cangkir"
"cangkuang","jongkok"
"capek","cepat laju"
"caracau","ceracau"
